,Company,Operating_System,Model,RAM(GB),Hard Disk(GB),Price(₹),Rating,Total Reviews,Product Links
0,Dell,,"Inspiron 5518 Laptop, Intel Core i5-11320H, 8GB & 512GB SSD, Win 11 + MSO'21, NVIDIA MX450 2GB GDDR5, 15.6""(39.62Cms) FHD WVA AG 250 nits, Backlit KB & FPR, Platinum Silver (D560862WIN9S,1.64Kgs)",8,512,67600,3.9,27,https://www.amazon.in/Dell-Inspiron-i5-11320H-39-62Cms-D560862WIN9S/dp/B0B469YSFN/ref=sr_1_225?keywords=laptops&qid=1681370088&sr=8-225
1,MSI,Windows 11,"Modern 14, Intel 13th Gen. i3-1315U, 36CM FHD 60Hz Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Urban Silver/1.4Kg), C13M-438IN",8,,49990,Previous,,https://www.amazon.in/MSI-Modern-14-i3-1315U-C13M-438IN/dp/B0BX9QR765/ref=sr_1_226?keywords=laptops&qid=1681370088&sr=8-226
2,Lenovo,Windows 10,"E41-55 AMD 14-inch HD 220 Nits Antiglare Thin and Light Laptop (AMD Athlon A3050U/4GB RAM/256GB SSD/Windows 10 Home/Integrated AMD Graphics/Grey/1 Year Onsite/1.59 kg), 82FJ00BLIH",4,256,20990,3.4,5,https://www.amazon.in/Lenovo-Antiglare-Integrated-Graphics-82FJ00BLIH/dp/B0BPQRH9W5/ref=sr_1_227?keywords=laptops&qid=1681370088&sr=8-227
3,Lenovo,Windows 10,"Lenovo T440p ThinkPad 4th Gen Intel Core i5 - 4300m 14 inches Business Laptop (8 GB, 500 GB HDD, 1366 X 768, Windows 10 Pro, Black, 2.1 kg)",8 ,500,,3.6,86,https://www.amazon.in/Renewed-Lenovo-T440p-Thinkpad-Screen/dp/B082F3FDPM/ref=sr_1_228?keywords=laptops&qid=1681370088&sr=8-228
4,Dell,,"New Inspiron 3515 Windows Laptop, AMD Ryzen3-3250U, Win11 + Office' 21, 8GB GDDR4, 1TB HDD + 256GB SSD, 15.6"" (39.62Cms) FHD AG, Carbon Black - D560798WIN9BE, 1.8Kgs",8,1,41500,3.4,6,https://www.amazon.in/Dell-Inspiron-Ryzen3-3250U-Office21-D560798WIN9BE/dp/B09TNY7CBX/ref=sr_1_229?keywords=laptops&qid=1681370088&sr=8-229
5,Lenovo,Windows 11,"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SDD/Windows 11/Arctic Grey/1.65Kg), 82H801LHIN",8,512,,Previous,,https://www.amazon.in/Renewed-Lenovo-IdeaPad-39-62cm-82H801LHIN/dp/B0BR42NHQJ/ref=sr_1_230?keywords=laptops&qid=1681370088&sr=8-230
6,ASUS,Windows 11,"VivoBook 15, Intel Celeron N4020, 15.6"" (39.62 cm) HD, Thin and Light Laptop (4GB/1TB HDD/Windows 11/FP Sensor/Silver/1.8 kg), X515MA-BR001W",4,1,26780,3.0,37,https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-X515MA-BR001W/dp/B09NVSM9KC/ref=sr_1_231?keywords=laptops&qid=1681370088&sr=8-231
7,Dell,,"Inspiron 3525 Laptop, AMD Athlon Silver 3050U, Win11 + Office 21, 8GB GDDR4, 256GB SSD, Radeon Graphics, 15.6"" (39.62Cms) HD AG, Black (D560766WIN9BE, 1.68Kgs)",8,256,38500,4.0,333,https://www.amazon.in/Dell-Inspiron-Graphics-Anti-Glare-D560766Win9Be/dp/B09TNWYR3Q/ref=sr_1_232?keywords=laptops&qid=1681370088&sr=8-232
8,HP,,"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU",8,256,,2.7,3,https://www.amazon.in/HP-15s-Ryzen-15-6inch-Micro-Edge-15s-ey1508AU/dp/B0BLNS91T6/ref=sr_1_233?keywords=laptops&qid=1681370088&sr=8-233
9,Lenovo,Windows 11,V15 Intel Celeron N4020 15.6 inches HD Laptop (4GB/256GB SSD/Windows 11/Ms-Office/Platinum Grey/1.7Kg),4,256,22999,3.5,3,https://www.amazon.in/Lenovo-Celeron-Windows-Ms-Office-Platinum/dp/B08PPXMLWW/ref=sr_1_234?keywords=laptops&qid=1681370088&sr=8-234
